ID,Herd,Dairy.size,Beef.cow.size,June.size,Vet.visit.freq.yr,Age,Vaccinate,Financial.pressures,When.dealing.with.farmers.it.is.better.to.be.careful.before.you.trust.them,I.feel.respected.by.the.government,I.trust.other.farmers.nationally.to.be.controlling.infectious.diseases.in.their.herds,I.trust.other.farmers.I.meet.for.the.first.time,When.dealing.with.vets.it.is.better.to.be.careful.before.you.trust.them,When.dealing.with.strangers.it.is.better.to.be.careful.before.you.trust.them,In.general..one.can.trust.people,I.feel.respected.by.my.vet,I.trust.my.vet.s.advice.about.infectious.disease.control.in.my.herd,I.trust.governmental.judgements.about.how.to.control.infectious.diseases.in.cattle,I.feel.respected.by.the.veterinary.profession,I.trust.vets,When.dealing.with.the.Government.it.is.better.to.be.careful.before.you.trust.them,I.trust.beef.farmers,Farmers.receive.high.quality.veterinary.advice.from.the.veterinary.profession,My.vet.would.always.tell.me.the.truth.even.if.it.was.not.what.I.wanted.to.hear,I.trust.dairy.farmers,I.trust.governmental.organisations,I.trust.my.neighbours.to.be.controlling.infectious.diseases.in.their.herds,PP.vet,PP.vet.community,PP.neighbouring.farmers,PP.farming.community,PP.gov,PP.cows,PP.dairy.farmers,PP.beef.farmers,I.know.how.to.control.infectious.disease.in.my.cattle,I.know.why.it.is.important.to.control.infectious.disease.in.my.cattle,I.understand.most.advice.I.receive.about.infectious.disease.in.cattle,I.do.not.have.the.time.to.control.infectious.disease.in.my.cattle,Controlling.infectious.disease.costs.too.much.money,Most.farmers.I.know.are.controlling.infectious.disease.in.their.cattle,I.find.it.difficult.to.raise.the.subject.of.infectious.disease.in.my.cattle.with.other.farmers,My.vet.helps.me.control.infectious.diseases.in.my.cattle,Government.policy.helps.me.control.infectious.disease.in.my.cattle,Other.farmers.help.me.achieve.control.of.infectious.disease.in.my.cattle,I.find.it.difficult.to.raise.the.subject.of.infectious.disease.in.my.cattle.with.vets,I.find.it.difficult.to.raise.the.subject.of.infectious.disease.in.my.cattle.with.governmental.organisations,I.worry.about.getting.infectious.diseases.in.my.cattle,I.feel.good.about.myself.when.I.control.infectious.disease.in.my.cattle,I.want.to.control.infectious.diseases.for.the.sake.of.my.herd,Controlling.infectious.diseases.in.my.cattle.is.part.of.my.routine,I.have.infectious.disease.goals.that.I.want.to.achieve.for.my.herd,I.want.to.control.infectious.disease.in.my.cattle,There.are.many.benefits.to.controlling.infectious.disease.in.cattle,It.is.not.my.responsibility.to.control.infectious.disease.in.my.cattle,I.have.a.plan.for.controlling.infectious.disease.in.my.cattle
F01,Dairy,150,0,230,4,50 - 59,4,5,2,1,4,4,2,3,5,5,5,3,4,5,3,3,4,5,4,3,2,5,3,5,4,2,7,3,3,5,5,5,1,1,4,3,5,4,3,1,4,5,4,5,5,5,5,5,1,5
F02,Dairy,30,20,80,7,50 - 59,2,3,2,3,3,4,2,2,4,5,5,4,4,5,2,4,4,5,4,4,2,4,1,1,2,2,7,4,4,4,4,4,1,4,3,3,4,3,3,2,4,2,5,5,4,4,5,5,1,5
F03,Beef only,0,100,230,1,60 - 69,2,5,2,3,4,3,2,4,4,4,5,3,4,5,3,4,5,5,3,3,3,2,2,4,3,1,7,3,4,4,5,5,1,2,4,3,5,4,4,1,2,4,4,5,5,5,5,5,1,5
F04,Beef only,0,10,30,0,40 - 49,6,2,4,3,3,3,4,5,3,4,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,1,7,3,3,4,4,4,1,3,4,2,4,4,3,2,3,4,3,4,4,3,4,4,2,4
F05,Beef only,0,150,400,0,Over 70,6,5,4,1,1,4,3,3,5,4,3,1,3,3,1,4,2,5,3,1,4,4,2,3,5,1,6,2,5,4,5,3,2,4,2,5,3,1,4,2,5,4,4,4,4,3,5,5,2,4
F06,Beef only,0,120,350,0,40 - 49,6,5,5,3,4,2,4,5,2,5,5,4,5,4,4,3,3,5,3,3,1,6,2,3,2,4,7,2,2,4,5,4,2,2,2,3,5,4,2,1,3,5,5,5,5,5,5,5,1,5
F07,Dairy,90,0,150,20,60 - 69,1,5,4,1,2,3,2,4,3,5,5,2,4,4,4,3,4,4,3,2,2,4,2,3,2,1,5,2,1,4,5,4,1,1,2,3,5,2,2,1,2,4,5,5,5,5,5,5,1,5
F08,Beef only,0,20,64,0,Over 70,2,3,4,3,3,3,2,4,3,4,4,3,4,4,4,3,4,4,3,3,2,4,4,1,3,1,6,3,4,4,4,4,2,1,3,3,4,3,3,2,3,4,4,4,4,4,4,4,1,4
F09,Dairy,150,0,280,8,50 - 59,2,4,4,2,4,2,2,4,2,4,4,4,4,3,3,2,4,4,2,4,2,3,1,5,4,1,5,4,4,4,4,4,2,4,4,2,4,4,4,2,2,4,4,4,4,3,4,4,2,4
F10,Beef only,0,25,60,1,60 - 69,9,3,2,1,2,3,2,4,4,4,5,1,3,4,5,4,4,5,3,1,2,3,3,3,2,1,6,4,6,4,4,4,1,4,2,3,3,1,3,1,4,4,4,5,5,5,5,4,1,5
F11,Dairy,100,0,220,26,30 - 39,4,4,4,2,4,3,3,4,4,5,5,5,5,5,3,3,5,5,2,4,2,6,3,4,3,2,7,4,4,4,5,5,2,2,4,3,5,4,4,1,1,4,3,5,5,4,5,5,1,5
F12,Beef only,0,64,120,2.5,40 - 49,4,3,4,1,3,2,2,3,3,5,5,3,5,5,3,3,5,5,3,3,4,7,5,4,4,1,7,1,4,5,5,5,1,2,3,1,5,3,3,1,1,5,5,5,5,5,5,5,1,5
F13,Beef only,0,9,18,0,Over 70,2,5,3,1,2,1,3,3,2,2,5,2,2,3,2,1,4,5,1,3,1,1,1,1,1,1,1,1,1,2,5,4,2,2,3,4,4,4,1,1,4,5,4,4,4,4,4,5,1,3
F14,Beef only,0,40,100,2,60 - 69,2,4,2,2,1,4,1,2,4,5,5,5,5,5,3,3,4,5,3,3,2,7,5,6,6,2,7,4,5,4,5,4,1,1,2,2,5,4,3,1,1,5,4,5,5,5,5,5,1,5
F15,Dairy,150,0,220,18,60 - 69,4,5,3,3,4,4,1,5,3,5,5,4,5,5,1,3,5,5,4,4,4,7,6,5,4,3,7,5,2,5,5,5,1,2,4,2,5,4,2,1,2,5,4,5,5,4,5,5,1,5
F16,Beef only,0,35,120,1,60 - 69,2,3,5,3,2,2,4,5,5,3,4,2,3,3,4,2,3,4,2,2,1,4,3,3,3,1,5,2,4,5,5,5,1,4,2,4,3,3,2,1,3,5,5,5,5,5,5,5,1,5
F17,Dairy,330,0,600,53,30 - 39,4,3,3,1,2,2,2,4,2,5,5,1,5,5,4,2,4,5,2,1,1,6,5,2,2,1,7,3,2,1,1,1,5,2,2,2,1,1,1,1,3,2,4,4,4,5,5,5,1,5
F18,Beef only,0,40,100,0,60 - 69,6,3,5,2,2,1,2,5,3,4,4,1,3,4,4,3,4,5,3,2,2,4,1,4,3,1,7,3,3,4,5,4,1,2,3,3,4,1,4,2,2,3,4,5,4,4,5,5,1,4
F19,Beef only,0,25,60,1,Under 30,3,4,4,2,4,1,1,5,4,4,4,4,4,4,4,5,5,5,3,4,4,6,1,5,2,1,7,2,3,4,5,5,1,2,5,2,4,4,2,1,4,4,4,5,5,4,5,5,1,4
F20,Beef only,0,110,300,0,60 - 69,4,5,4,2,2,2,2,5,2,4,4,2,3,4,4,3,4,4,3,2,2,4,3,2,2,1,7,2,3,4,4,4,1,2,3,2,4,2,2,1,4,4,4,4,4,4,4,4,2,4
F21,Beef only,0,0,170,0,60 - 69,1,3,5,1,3,1,1,5,3,5,5,5,5,5,2,3,5,5,3,3,3,7,7,4,4,4,7,5,5,4,5,4,1,1,4,2,5,4,3,1,1,5,5,5,5,5,5,5,1,5
F22,Beef only,0,170,350,0,40 - 49,6,3,5,2,2,2,3,5,3,5,5,4,5,4,3,4,4,5,4,3,2,6,2,4,2,2,6,3,5,4,5,4,2,2,3,2,5,3,3,1,2,5,4,5,5,5,5,5,1,5
F23,Beef only,0,50,135,6,50 - 59,2,2,4,1,3,3,1,5,2,3,4,3,3,5,4,3,4,4,3,1,2,1,1,1,1,1,1,1,1,3,4,4,1,1,3,3,4,1,1,1,3,4,3,5,5,5,5,5,1,4
F24,Dairy,182,0,350,26,50 - 59,2,5,4,1,2,3,2,4,3,1,1,3,4,4,4,3,4,4,3,2,3,5,4,2,2,1,5,3,3,5,5,4,1,2,3,4,5,3,3,1,2,4,3,4,4,4,4,5,1,5
F25,Beef only,0,10,25,2,50 - 59,1,4,4,3,2,2,3,4,3,4,4,4,4,4,3,3,4,4,3,3,2,4,3,5,3,2,6,2,2,4,4,4,2,2,3,3,4,4,3,1,2,4,4,5,4,4,4,4,1,4
F26,Beef only,0,17,620,0,50 - 59,1,2.5,2,2,3,3,2,3,4,4,4,3,4,4,3,3,4,4,3,3,4,4,2,4,3,1,6,3,3,4,4,4,3,3,3,3,4,3,4,3,3,4,3,4,4,4,4,4,2,4
F27,Beef only,0,7,18,2,50 - 59,2,3,5,3,3,3,2,5,3,5,5,5,5,5,1,3,5,5,3,4,3,7,5,4,3,4,7,3,3,5,5,5,1,1,4,2,5,5,3,1,1,5,5,5,5,5,5,5,1,5
F28,Dairy,50,0,100,1,40 - 49,2,4,4,1,3,3,4,5,3,4,4,4,3,4,3,3,4,5,3,3,3,6,4,4,4,1,7,5,4,4,4,4,1,1,3,3,4,1,2,1,3,4,5,5,5,5,5,5,1,4
F29,Dairy,0,0,200,0,40 - 49,7,3,4,3,2,3,2,4,4,5,5,4,5,5,3,3,4,5,2,4,3,7,6,6,4,4,7,3,5,4,5,5,1,2,3,2,4,4,2,1,2,4,5,5,5,5,5,5,2,5
F30,Beef only,0,40,120,1,50 - 59,6,4,4,2,3,3,4,5,3,4,4,2,4,3,4,3,4,4,3,3,3,2,1,5,2,1,7,2,2,4,5,3,2,3,4,2,4,3,3,1,3,4,5,5,4,4,4,5,1,4
F31,Dairy,180,0,350,1,Under 30,9,4,3,2,2,2,2,4,2,4,5,2,4,4,4,3,4,5,3,2,3,4,3,3,3,1,6,3,3,4,5,4,2,4,4,2,5,3,2,2,4,4,4,5,3,2,5,5,2,3
F32,Beef only,0,35,70,0,40 - 49,4,5,4,1,4,2,4,5,2,4,4,1,4,4,5,3,4,4,3,1,3,3,2,3,3,1,7,1,3,4,4,4,2,2,3,3,4,2,2,3,3,3,3,4,4,4,4,4,4,4
F33,Beef only,0,28,42,2,40 - 49,1,4,4,2,4,3,2,5,2,5,5,4,5,5,4,4,5,5,4,4,4,6,2,3,3,2,7,2,2,4,5,5,1,3,4,1,5,3,3,1,1,4,4,5,5,5,5,5,1,4
F34,Beef only,0,18,42,1,50 - 59,3,1,5,1,3,2,2,5,3,5,4,1,4,5,5,3,4,5,3,3,3,3,2,2,3,1,5,1,2,5,5,5,1,3,3,4,5,3,2,1,5,4,4,5,4,5,5,5,1,5
F35,Beef only,0,0,195,4,50 - 59,4,3,3,1,3,3,2,4,4,5,5,3,4,4,5,4,4,5,4,1,3,5,2,6,4,1,7,5,5,4,4,4,1,3,4,2,5,1,3,1,5,4,4,5,5,4,5,5,1,4
F36,Dairy,200,0,350,15,Under 30,2,2,5,1,2,3,4,5,4,4,5,2,3,4,4,3,4,5,3,3,2,6,2,5,3,1,7,4,2,4,5,5,1,2,4,2,5,3,2,1,2,4,3,5,4,5,5,5,1,4
F37,Dairy,112,0,280,2.5,50 - 59,2,1,3,3,2,3,2,4,4,4,4,1,3,2,3,3,4,4,3,2,3,3,1,4,4,1,4,4,4,3,4,4,2,2,3,3,4,1,3,2,3,4,4,4,4,3,4,4,3,4
F38,Dairy,160,20,465,24,Under 30,6,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,2,6,3,4,4,4,4,4,4,4,1,5,3,5,5,4,3,4,4,4,4,4,4,4,4
F39,Dairy,50,0,70,1,40 - 49,4,1,4,3,2,1,4,5,1,5,5,1,4,5,5,1,5,5,1,1,1,7,4,2,1,1,7,3,2,4,5,4,1,1,4,1,5,3,1,1,1,5,3,5,5,4,5,5,1,5
F40,Beef only,0,200,250,0,30 - 39,1,5,2,1,3,3,3,4,4,4,4,2,5,4,5,4,4,5,5,1,2,3,2,3,4,1,5,5,5,4,5,5,1,2,2,1,4,1,3,2,5,4,4,4,4,2,4,4,2,4
F41,Dairy,180,0,375,0,40 - 49,3,1,3,2,3,3,2,4,3,5,5,3,5,5,4,4,5,5,4,4,3,7,5,6,6,5,7,6,6,5,5,5,1,3,3,2,5,4,3,1,2,4,4,5,5,5,5,5,1,5
F42,Beef only,0,70,200,1,30 - 39,8,4,3,2,4,4,2,4,5,5,5,3,4,5,5,4,3,5,4,3,4,3,5,3,4,6,1,5,3,4,5,5,1,5,4,4,4,2,4,1,3,4,5,5,4,5,5,5,3,5
F43,Beef only,0,60,125,1,Under 30,1,3,4,2,4,4,2,4,2,5,4,3,4,4,5,4,4,5,4,2,4,1,1,6,4,1,7,3,4,5,5,4,1,1,4,1,4,3,4,1,4,5,4,5,5,5,5,5,1,5
